Epoch: 060, Loss: 0.34277, Train Acc: 0.88605, Val Acc: 0.82677, Test Acc: 0.82971
Epoch: 061, Loss: 0.34191, Train Acc: 0.88629, Val Acc: 0.82837, Test Acc: 0.82951
Epoch: 062, Loss: 0.34045, Train Acc: 0.88661, Val Acc: 0.82870, Test Acc: 0.82944
Epoch: 063, Loss: 0.33861, Train Acc: 0.88714, Val Acc: 0.82813, Test Acc: 0.82957
Epoch: 064, Loss: 0.33684, Train Acc: 0.88714, Val Acc: 0.82797, Test Acc: 0.82964
Epoch: 065, Loss: 0.33723, Train Acc: 0.88753, Val Acc: 0.82789, Test Acc: 0.82985
Epoch: 066, Loss: 0.33669, Train Acc: 0.88756, Val Acc: 0.82829, Test Acc: 0.82985
Epoch: 067, Loss: 0.33690, Train Acc: 0.88761, Val Acc: 0.82870, Test Acc: 0.82951
Epoch: 068, Loss: 0.33761, Train Acc: 0.88771, Val Acc: 0.82845, Test Acc: 0.82985
Epoch: 069, Loss: 0.33622, Train Acc: 0.88775, Val Acc: 0.82837, Test Acc: 0.82978
Epoch: 070, Loss: 0.33617, Train Acc: 0.88767, Val Acc: 0.82805, Test Acc: 0.82978
Epoch: 071, Loss: 0.33611, Train Acc: 0.88761, Val Acc: 0.82829, Test Acc: 0.82923
Epoch: 072, Loss: 0.33648, Train Acc: 0.88793, Val Acc: 0.82813, Test Acc: 0.82951
Epoch: 073, Loss: 0.33673, Train Acc: 0.88788, Val Acc: 0.82813, Test Acc: 0.82978
Epoch: 074, Loss: 0.33496, Train Acc: 0.88775, Val Acc: 0.82821, Test Acc: 0.82971
Epoch: 075, Loss: 0.33561, Train Acc: 0.88784, Val Acc: 0.82741, Test Acc: 0.82930
Epoch: 076, Loss: 0.33446, Train Acc: 0.88790, Val Acc: 0.82773, Test Acc: 0.82930
Epoch: 077, Loss: 0.33574, Train Acc: 0.88785, Val Acc: 0.82789, Test Acc: 0.82937
Epoch: 078, Loss: 0.33561, Train Acc: 0.88797, Val Acc: 0.82821, Test Acc: 0.82985
Epoch: 079, Loss: 0.33556, Train Acc: 0.88814, Val Acc: 0.82805, Test Acc: 0.82944
Epoch: 080, Loss: 0.33518, Train Acc: 0.88811, Val Acc: 0.82773, Test Acc: 0.82957
Epoch: 081, Loss: 0.33654, Train Acc: 0.88808, Val Acc: 0.82765, Test Acc: 0.82971
Epoch: 082, Loss: 0.33507, Train Acc: 0.88819, Val Acc: 0.82749, Test Acc: 0.82951
Epoch: 083, Loss: 0.33581, Train Acc: 0.88793, Val Acc: 0.82789, Test Acc: 0.82916
Epoch: 084, Loss: 0.33569, Train Acc: 0.88822, Val Acc: 0.82789, Test Acc: 0.82896
Epoch: 085, Loss: 0.33428, Train Acc: 0.88829, Val Acc: 0.82757, Test Acc: 0.82951
Epoch: 086, Loss: 0.33514, Train Acc: 0.88831, Val Acc: 0.82773, Test Acc: 0.82930
Epoch: 087, Loss: 0.33451, Train Acc: 0.88832, Val Acc: 0.82813, Test Acc: 0.82944
Epoch: 088, Loss: 0.33531, Train Acc: 0.88837, Val Acc: 0.82749, Test Acc: 0.82937
Epoch: 089, Loss: 0.33380, Train Acc: 0.88831, Val Acc: 0.82773, Test Acc: 0.82909
Epoch: 090, Loss: 0.33509, Train Acc: 0.88842, Val Acc: 0.82805, Test Acc: 0.82896
Epoch: 091, Loss: 0.33432, Train Acc: 0.88848, Val Acc: 0.82741, Test Acc: 0.82923
Epoch: 092, Loss: 0.33432, Train Acc: 0.88848, Val Acc: 0.82741, Test Acc: 0.82985
Epoch: 093, Loss: 0.33395, Train Acc: 0.88854, Val Acc: 0.82757, Test Acc: 0.82964
Epoch: 094, Loss: 0.33420, Train Acc: 0.88841, Val Acc: 0.82797, Test Acc: 0.82978
Epoch: 095, Loss: 0.33396, Train Acc: 0.88848, Val Acc: 0.82813, Test Acc: 0.82971
Epoch: 096, Loss: 0.33507, Train Acc: 0.88845, Val Acc: 0.82805, Test Acc: 0.82951
Epoch: 097, Loss: 0.33301, Train Acc: 0.88849, Val Acc: 0.82789, Test Acc: 0.82971
Epoch: 098, Loss: 0.33394, Train Acc: 0.88849, Val Acc: 0.82797, Test Acc: 0.82971
Epoch: 099, Loss: 0.33393, Train Acc: 0.88862, Val Acc: 0.82773, Test Acc: 0.82985
Epoch: 100, Loss: 0.33332, Train Acc: 0.88846, Val Acc: 0.82781, Test Acc: 0.82971
Epoch: 101, Loss: 0.33451, Train Acc: 0.88856, Val Acc: 0.82757, Test Acc: 0.82978
Epoch: 102, Loss: 0.33428, Train Acc: 0.88855, Val Acc: 0.82789, Test Acc: 0.82951
Epoch: 103, Loss: 0.33480, Train Acc: 0.88851, Val Acc: 0.82813, Test Acc: 0.82964
Epoch: 104, Loss: 0.33273, Train Acc: 0.88863, Val Acc: 0.82805, Test Acc: 0.82978
Epoch: 105, Loss: 0.33361, Train Acc: 0.88849, Val Acc: 0.82829, Test Acc: 0.82964
Epoch: 106, Loss: 0.33452, Train Acc: 0.88848, Val Acc: 0.82805, Test Acc: 0.82964
Epoch: 107, Loss: 0.33438, Train Acc: 0.88866, Val Acc: 0.82837, Test Acc: 0.82978
Epoch: 108, Loss: 0.33404, Train Acc: 0.88834, Val Acc: 0.82805, Test Acc: 0.82964
Epoch: 109, Loss: 0.33453, Train Acc: 0.88848, Val Acc: 0.82741, Test Acc: 0.82957
Epoch: 110, Loss: 0.33320, Train Acc: 0.88858, Val Acc: 0.82797, Test Acc: 0.82978
Epoch: 111, Loss: 0.33386, Train Acc: 0.88872, Val Acc: 0.82797, Test Acc: 0.82978
Epoch: 112, Loss: 0.33433, Train Acc: 0.88858, Val Acc: 0.82821, Test Acc: 0.82957
Epoch: 113, Loss: 0.33462, Train Acc: 0.88855, Val Acc: 0.82837, Test Acc: 0.82957
Epoch: 114, Loss: 0.33254, Train Acc: 0.88871, Val Acc: 0.82853, Test Acc: 0.82971
Epoch: 115, Loss: 0.33347, Train Acc: 0.88866, Val Acc: 0.82813, Test Acc: 0.82951
Epoch: 116, Loss: 0.33308, Train Acc: 0.88866, Val Acc: 0.82773, Test Acc: 0.82951
Epoch: 117, Loss: 0.33277, Train Acc: 0.88862, Val Acc: 0.82845, Test Acc: 0.82964
Epoch: 118, Loss: 0.33452, Train Acc: 0.88873, Val Acc: 0.82829, Test Acc: 0.82971
Epoch: 119, Loss: 0.33432, Train Acc: 0.88872, Val Acc: 0.82845, Test Acc: 0.82978
Epoch: 120, Loss: 0.33371, Train Acc: 0.88865, Val Acc: 0.82813, Test Acc: 0.82978
Epoch: 121, Loss: 0.33347, Train Acc: 0.88854, Val Acc: 0.82805, Test Acc: 0.82978
Epoch: 122, Loss: 0.33289, Train Acc: 0.88871, Val Acc: 0.82837, Test Acc: 0.83005
Epoch: 123, Loss: 0.33490, Train Acc: 0.88873, Val Acc: 0.82781, Test Acc: 0.83005
Epoch: 124, Loss: 0.33390, Train Acc: 0.88858, Val Acc: 0.82837, Test Acc: 0.83005
Epoch: 125, Loss: 0.33263, Train Acc: 0.88872, Val Acc: 0.82853, Test Acc: 0.83005
Epoch: 126, Loss: 0.33332, Train Acc: 0.88873, Val Acc: 0.82805, Test Acc: 0.83005
Epoch: 127, Loss: 0.33332, Train Acc: 0.88878, Val Acc: 0.82805, Test Acc: 0.82998
Epoch: 128, Loss: 0.33368, Train Acc: 0.88865, Val Acc: 0.82813, Test Acc: 0.82998
Epoch: 129, Loss: 0.33294, Train Acc: 0.88862, Val Acc: 0.82805, Test Acc: 0.82992
Epoch: 130, Loss: 0.33429, Train Acc: 0.88851, Val Acc: 0.82813, Test Acc: 0.82992
Epoch: 131, Loss: 0.33346, Train Acc: 0.88868, Val Acc: 0.82829, Test Acc: 0.82992
Epoch: 132, Loss: 0.33372, Train Acc: 0.88862, Val Acc: 0.82781, Test Acc: 0.82992
Epoch: 133, Loss: 0.33370, Train Acc: 0.88862, Val Acc: 0.82805, Test Acc: 0.82992
Epoch: 134, Loss: 0.33361, Train Acc: 0.88865, Val Acc: 0.82773, Test Acc: 0.82985
Epoch: 135, Loss: 0.33379, Train Acc: 0.88868, Val Acc: 0.82829, Test Acc: 0.82985
