Epoch: 060, Loss: 0.27669, Train Acc: 0.93022, Val Acc: 0.90172, Test Acc: 0.89917
Epoch: 061, Loss: 0.27615, Train Acc: 0.93028, Val Acc: 0.90156, Test Acc: 0.89910
Epoch: 062, Loss: 0.27580, Train Acc: 0.93028, Val Acc: 0.90164, Test Acc: 0.89910
Epoch: 063, Loss: 0.27537, Train Acc: 0.93045, Val Acc: 0.90164, Test Acc: 0.89923
Epoch: 064, Loss: 0.27560, Train Acc: 0.93032, Val Acc: 0.90172, Test Acc: 0.89923
Epoch: 065, Loss: 0.27703, Train Acc: 0.93031, Val Acc: 0.90164, Test Acc: 0.89923
Epoch: 066, Loss: 0.27481, Train Acc: 0.93031, Val Acc: 0.90164, Test Acc: 0.89917
Epoch: 067, Loss: 0.27606, Train Acc: 0.93025, Val Acc: 0.90164, Test Acc: 0.89910
Epoch: 068, Loss: 0.27813, Train Acc: 0.93031, Val Acc: 0.90148, Test Acc: 0.89937
Epoch: 069, Loss: 0.27682, Train Acc: 0.93019, Val Acc: 0.90148, Test Acc: 0.89917
Epoch: 070, Loss: 0.27508, Train Acc: 0.93027, Val Acc: 0.90140, Test Acc: 0.89896
Epoch: 071, Loss: 0.27705, Train Acc: 0.93027, Val Acc: 0.90140, Test Acc: 0.89917
Epoch: 072, Loss: 0.27620, Train Acc: 0.93031, Val Acc: 0.90140, Test Acc: 0.89923
Epoch: 073, Loss: 0.27481, Train Acc: 0.93027, Val Acc: 0.90156, Test Acc: 0.89896
Epoch: 074, Loss: 0.27503, Train Acc: 0.93019, Val Acc: 0.90116, Test Acc: 0.89889
Epoch: 075, Loss: 0.27767, Train Acc: 0.93029, Val Acc: 0.90140, Test Acc: 0.89896
Epoch: 076, Loss: 0.27522, Train Acc: 0.93025, Val Acc: 0.90132, Test Acc: 0.89889
Epoch: 077, Loss: 0.27655, Train Acc: 0.93032, Val Acc: 0.90156, Test Acc: 0.89923
